Mouse,Power,Arcane,Draconic,Forgotten,Hydro,Parental,Physical,Shadow,Tactical,Law,Rift
Spice Finder,5575,100,0,0,0,0,0,0,0,0,0
Spice Merchant,13950,0,0,0,0,0,300,0,300,300,0
Spice Raider,3810,100,0,0,0,0,0,0,0,0,0
Spice Reaper,6700,100,0,0,0,0,0,0,0,0,0
Spice Seer,1873,100,0,0,0,0,0,0,0,0,0
Spice Sovereign,3080,100,0,0,0,0,0,0,0,0,0
Spider,5205,200,0,100,0,0,0,100,0,0,0
Spiked Burrower,5750,0,0,100,100,0,0,0,0,0,0
Spiky Devil,3000,0,0,0,0,0,0,100,0,0,0
Spirit Fox,1750,10,10,10,10,0,10,10,10,10,100
Spirit Light,600,101,101,101,101,101,101,101,101,101,300
Spirit of Balance,1500,10,10,10,10,0,10,10,10,10,100
Spiritual Steel,1340,10,10,10,10,0,10,10,10,10,100
Splintered Stone Sentry,7050,0,0,100,50,0,0,0,0,0,0
Spore,3000,0,0,0,100,0,0,0,0,0,0
Spore Muncher,5275,0,0,100,100,0,0,0,0,0,0
Spore Salesman,2200,100,100,0,0,0,0,100,0,0,0
Sporeticus,5175,0,0,100,100,0,0,0,0,0,0
Sporty Ski Instructor,680,100,100,100,100,0,100,100,100,100,100
Spotted,5,100,100,100,100,0,100,100,100,100,100
Spring Familiar,10500,0,0,0,0,0,200,0,125,0,0
Spring Sprig,2250,100,100,100,100,0,100,100,100,100,100
Sprinkly Sweet Cupcake Cook,1000,100,100,100,100,100,100,100,100,100,100
Spry Sky Explorer,9594,0,0,100,0,0,0,0,0,0,0
Spry Sky Seer,16175,0,0,100,0,0,0,0,0,0,0
Spud,250,100,100,100,100,0,100,100,100,100,100
Squeaken,13250,0,0,0,175,0,100,0,100,0,0
Squeaker Bot,65,100,0,100,100,0,100,100,100,100,0
Squeaker Claws,5210,100,100,100,100,0,100,100,100,100,100
Stack of Thieves,8400,0,0,0,0,0,0,0,0,100,0
Stagecoach Driver,4500,0,0,0,0,0,0,0,0,200,0
Stalagmite,14799,0,0,200,0,0,0,0,0,0,0
Stealth,300,25,25,25,25,25,200,25,100,100,0
Steam Grip,23001,0,0,0,0,0,300,0,275,0,0
Steam Sailor,5365,0,100,0,0,0,0,0,0,0,0
Steel,160,100,100,100,100,0,100,100,100,100,100
Steel Horse Rider,4999,0,0,0,0,0,0,0,0,200,0
Stickybomber,4500,0,0,0,100,0,0,0,0,0,0
Stinger,13200,0,0,0,0,0,0,0,150,0,0
Stingray,4300,0,0,0,100,0,0,0,0,0,0
Stocking,3245,100,100,100,100,0,100,100,100,100,100
Stone Cutter,2100,100,0,0,0,0,100,100,100,0,0
Stone Maiden,3950,0,0,100,50,0,0,0,0,0,0
Stonework Warrior,13450,0,0,0,0,0,0,200,0,0,0
"Stormsurge, the Vile Tempest",63300,0,600,0,0,0,0,0,0,0,0
Stoutgear,4000,0,0,0,0,0,0,0,0,200,0
Stowaway,2501,0,0,0,0,0,0,0,0,200,0
Stratocaster,19700,0,0,0,0,0,0,100,0,0,0
Strawberry Hotcakes,4500,0,0,0,100,0,0,0,0,0,0
Stuck Snowball,1068,100,100,100,100,0,100,100,100,100,100
Student of the Cheese Belt,2200,0,0,0,0,0,100,0,175,0,0
Student of the Cheese Claw,2200,0,0,0,0,0,100,0,175,0,0
Student of the Cheese Fang,2200,0,0,0,0,0,100,0,175,0,0
Student of the Chi Belt,15000,0,0,0,0,0,0,0,0,0,200
Student of the Chi Claw,15000,0,0,0,0,0,0,0,0,0,200
Student of the Chi Fang,15000,0,0,0,0,0,0,0,0,0,200
Stuffy Banker,2250,0,0,0,0,0,0,0,0,200,0
Suave Pirate,18510,100,100,100,100,0,100,100,100,100,0
Subterranean,9500,100,0,0,0,0,100,100,100,0,0
Sugar Rush,3200,101,101,101,101,101,101,101,101,101,300
Summer Mage,19800,0,0,0,0,0,0,0,150,0,0
Summoning Scholar,7900,100,0,300,0,0,0,0,0,0,0
Sunken Banshee,9850,0,0,0,100,0,0,0,0,0,0
Sunken Citizen,3930,0,0,0,100,0,0,0,0,0,0
Super FighterBot MegaSupreme,2450,100,100,100,100,100,100,100,100,100,100
Super Mega Mecha Ultra RoboGold,2300,10,10,10,10,0,10,10,10,10,100
Supernatural,980,10,10,10,10,0,10,10,10,10,100
Supply Hoarder,4999,0,0,0,0,0,0,0,0,200,0
Supreme Sensei,404014,0,0,0,0,0,0,0,0,0,200
Surgeon Bot,975,10,10,10,10,0,10,10,10,10,100
Swabbie,570,0,0,0,175,0,100,0,100,0,0
Swamp Runner,2150,0,0,0,100,0,0,0,0,0,0
Swamp Thang,1800,101,101,101,101,101,101,101,101,101,300
Swarm of Pygmy Mice,1800,0,0,100,0,0,0,200,0,0,0
Swashblade,8709,0,0,0,100,0,0,0,0,0,0
Sylvan,200,100,0,0,100,0,100,100,175,100,0
Tackle Tracker,10000,0,0,0,100,0,0,0,0,0,0
Tadpole,5400,0,0,0,100,0,0,0,0,0,0
Taleweaver,1600,0,0,0,175,0,100,0,100,0,0
Tanglefoot,4420,0,0,0,0,0,200,0,125,0,0
Tech Golem,40602,100,0,300,0,0,0,0,0,0,0
Tech Ravenous Zombie,1100,10,10,10,10,0,10,10,10,10,100
Technic Bishop,10800,0,0,0,0,0,0,0,100,0,0
Technic King,38398,0,0,0,0,0,0,0,4000,0,0
Technic Knight,8596,0,0,0,0,0,0,0,100,0,0
Technic Pawn,1800,0,0,0,0,0,0,0,100,0,0
Technic Queen,22004,0,0,0,0,0,0,0,100,0,0
Technic Rook,18620,0,0,0,0,0,0,0,100,0,0
Teenage Vampire,100,101,101,101,101,101,101,101,101,101,300
Telekinetic Mutant,14498,0,0,0,100,0,0,0,0,0,0
Tentacle,12000,0,0,0,100,0,0,0,0,0,0
Terra,2200,100,100,100,100,25,75,400,75,0,0
Terrible Twos,300,25,25,25,25,200,25,25,25,100,25
Terrified Adventurer,100,0,0,0,0,0,0,0,0,0,150
Terror Knight,5750,200,0,100,0,0,0,100,0,0,0
The Menace,20000,0,0,0,100,0,0,0,0,0,0
The Total Eclipse,13500000,0,0,0,0,0,0,0,0,0,100000
Theurgy Warden,10498,0,0,0,75,0,100,0,75,0,0
Thirsty,999,0,0,0,100,0,0,0,0,0,0
Thistle,4000,0,0,0,100,0,0,0,0,0,0
Thorn,6000,0,0,0,100,0,0,0,0,0,0
Thunder Strike,1650,0,100,0,0,0,0,0,0,0,0
Thundering Watcher,16500,0,300,0,0,0,0,0,0,0,0
Thunderlord,13500,0,300,0,0,0,0,0,0,0,0
Tidal Fisher,2500,150,0,125,0,0,0,200,0,0,0
Tiger,6700,100,0,0,100,0,100,100,175,100,0
Time Punk,1000,100,100,100,100,100,100,100,100,100,100
Time Tailor,1500,100,100,100,100,100,100,100,100,100,100
Time Thief,2850,100,100,100,100,100,100,100,100,100,100
Timeless Lich,9500,0,0,0,0,0,0,0,0,0,300
Timelost Thaumaturge,4700,0,0,0,0,0,0,0,0,0,200
Timeslither Pythoness,8800,0,0,0,0,0,0,0,0,0,200
Timid Explorer,3300,0,0,0,0,0,0,0,0,0,100
Tiny,7,100,100,100,100,0,100,100,100,100,100
Tiny Dragonfly,10390,0,100,0,0,0,0,0,0,0,0
Tiny Saboteur,1120,0,0,0,0,0,0,0,0,100,0
Tiny Toppler,2815,0,0,0,0,0,0,100,0,0,0
Titanic Brain-Taker,1800,101,101,101,101,101,101,101,101,101,300
Toboggan Technician,1067,100,100,100,100,0,100,100,100,100,100
Tomb Exhumer,1100,100,100,100,100,0,100,100,100,100,200
Tome Sprite,6200,0,0,0,0,0,125,0,200,0,0
Tonic Salesman,2250,0,0,0,0,0,0,0,0,200,0
Totally Not Bitter,650,100,100,100,100,0,100,100,100,100,100
Toxic Avenger,2100,10,10,10,10,0,10,10,10,10,100
Toxic Warrior,17000,0,0,0,100,0,0,0,0,0,0
Toxikinetic,1700,10,10,10,10,0,10,10,10,10,100
Toy,419,100,100,100,100,0,100,100,100,100,100
Toy Sylvan,3,25,25,25,25,25,100,25,100,0,0
Toy Tinkerer,680,100,100,100,100,0,100,100,100,100,100
Trailblazer,2500,0,0,0,100,0,175,0,100,0,0
Train Conductor,3253,0,0,0,0,0,0,0,0,200,0
Train Engineer,3499,0,0,0,0,0,0,0,0,200,0
Trampoline,750,100,100,100,100,0,100,100,100,100,100
Travelling Barber,3253,0,0,0,0,0,0,0,0,200,0
Treant,760,100,0,0,100,0,100,100,175,100,0
Treant Queen,1500,10,10,10,10,0,10,10,10,10,100
Treasure Brawler,27900,100,0,300,0,0,0,0,0,0,0
Treasure Hoarder,6549,0,0,0,100,0,0,0,0,0,0
Treasure Keeper,8600,0,0,0,100,0,0,0,0,0,0
Treasurer,4080,100,100,100,100,0,100,100,100,100,100
Treat,2000,101,101,101,101,101,101,101,101,101,300
Tree Troll,2000,10,10,10,10,0,10,10,10,10,100
Tri-dra,7500,10,10,10,10,0,10,10,10,10,100
Trick,2000,101,101,101,101,101,101,101,101,101,300
Tricky Witch,1250,101,101,101,101,101,101,101,101,101,300
Triple Lutz,266,100,100,100,100,0,100,100,100,100,100
Tritus,68501,0,0,0,100,0,0,0,0,0,0
Troll,14460,100,0,0,100,0,100,175,100,0,0
Tumbleweed,1375,0,0,0,0,0,0,0,0,200,0
Tundra Huntress,5582,100,100,100,100,0,100,100,100,100,100
Turret Guard,9850,0,0,0,100,0,0,0,0,0,0
Twisted Carmine,20000,0,0,0,100,0,0,0,0,0,0
Twisted Fiend,3000,150,0,125,0,0,0,200,0,0,0
Twisted Hotcakes,7501,0,0,0,100,0,0,0,0,0,0
Twisted Lilly,9499,0,0,0,100,0,0,0,0,0,0
Twisted Treant,1500,10,10,10,10,0,10,10,10,10,100
Undertaker,4500,0,0,0,0,0,0,0,0,200,0
Unwavering Adventurer,4800,0,0,0,0,0,0,0,0,0,175
Upper Class Lady,2250,0,0,0,0,0,0,0,0,200,0
Urchin King,11150,0,0,0,100,0,0,0,0,0,0
Vampire,2340,100,0,100,0,0,25,200,25,0,0
Vanguard,4100,0,0,0,75,0,100,0,75,0,0
Vanquisher,7450,0,0,0,175,0,0,0,0,0,0
Vaporior,10000,0,100,0,0,0,0,0,0,0,0
Vicious Vampire Squid,16000,0,0,0,100,0,0,0,0,0,0
Vigilant Ward,5000,0,0,0,0,0,0,0,0,0,200
"Vincent, The Magnificent",4000,100,100,100,100,100,100,100,100,100,100
Vinetail,18900,0,0,0,0,0,200,0,125,0,0
Violet Stormchild,2000,0,100,0,0,0,0,0,0,0,0
Walker,14751,0,0,0,0,0,125,0,250,0,0
Wandering Monk,15275,0,0,0,0,0,0,0,0,0,200
Warden of Fog,203580,400,400,400,400,0,400,400,400,400,0
Warden of Frost,203580,400,400,400,400,0,400,400,400,400,0
Warden of Rain,203580,400,400,400,400,0,400,400,400,400,0
Warden of Wind,203580,400,400,400,400,0,400,400,400,400,0
Warehouse Manager,4498,0,0,0,0,0,0,0,0,200,0
Warming Wyvern,7350,0,100,0,0,0,0,0,0,0,0
Warmonger,43007,75,0,0,75,0,100,0,75,0,0
Water Nymph,4280,0,0,0,175,0,100,0,100,0,0
Water Sprite,1750,10,10,10,10,0,10,10,10,10,100
Water Wielder,7500,0,0,0,100,0,0,0,0,0,0
Wave Racer,1250,100,100,100,100,0,100,100,100,100,100
Wealth,1525,10,10,10,10,0,10,10,10,10,100
Wealthy Werewarrior,12285,100,0,0,0,0,0,150,0,0,0
Werehauler,11000,100,0,0,0,0,0,150,0,0,0
Wereminer,18850,100,0,0,0,0,0,150,0,0,0
Whelpling,1275,0,100,0,75,0,75,0,75,0,0
Whirleygig,2185,0,0,0,0,0,0,200,100,0,0
White,1,100,100,100,100,0,100,100,100,100,100
White Mage,5200,300,200,200,200,25,75,200,75,0,0
Wicked Witch of Whisker Woods,1270,100,0,0,100,0,100,100,175,100,0
Wiggler,90,100,0,0,100,0,100,100,175,100,0
Wight,13780,200,0,100,0,0,0,100,0,0,0
Wild Chainsaw,1800,101,101,101,101,101,101,101,101,101,300
Wily Weevil,12000,0,0,0,0,0,0,0,100,0,0
Wind Warrior,21200,150,50,0,0,0,0,100,0,0,0
Wind Watcher,4100,150,50,0,0,0,0,100,0,0,0
Windy Farmer,2400,100,100,0,0,0,0,100,0,0,0
Winged Harpy,2500,10,10,10,10,0,10,10,10,10,100
Winter Games,500,100,100,100,100,0,100,100,100,100,100
Winter Mage,21600,0,0,0,200,0,0,0,100,0,0
Withered Remains,29000,0,0,0,0,0,0,0,0,0,700
Wolfskie,5600,0,0,0,100,0,0,0,0,0,0
Wordsmith,3000,0,0,0,100,0,175,0,100,0,0
Worker,635,0,0,0,0,0,100,0,175,0,0
Worried Wayfinder,12410,0,0,0,0,0,0,0,100,0,0
Wound Up White,1,25,25,25,25,25,100,25,100,0,0
Wreath Thief,778,100,100,100,100,0,100,100,100,125,100
Yeti,6500,0,0,0,100,0,0,0,0,0,0
Young Prodigy Racer,712,100,100,100,100,0,100,100,100,100,100
Zealous Academic,28000,0,0,0,0,0,0,600,0,0,0
Zephyr,4100,100,100,100,100,25,75,400,75,0,0
Zombie,920,100,0,100,0,0,100,200,25,0,0
Zombot Unipire,330,101,101,101,101,101,101,101,101,101,300
Zombot Unipire the Third,1000,10,10,10,10,0,10,10,10,10,100
Zurreal the Eternal,73001,0,0,0,0,0,0,0,5500,0,0
